date,close,volume,open,high,low
8/22/2017,222.38,300534,220.35,223.3,220.35
8/21/2017,219.91,202555,220.37,221.29,219.42
8/18/2017,220.21,203308,219.4,221.6,218.52
8/17/2017,219.55,215714,221.08,222.08,219.27
8/16/2017,221.55,274002,217.43,221.93,217.2381
8/15/2017,217.42,218763,218.78,219.36,217.3001
8/14/2017,218.61,284444,215.19,219.035,215.19
8/11/2017,213.67,161123,210.72,214.59,210.72
8/10/2017,212.13,164730,211.77,213.195,210.61
8/9/2017,212.72,284275,213.28,215.94,212.17
8/8/2017,213.64,168617,213.7,214.705,211.66
8/7/2017,213.73,214763,214.42,214.47,212.94
